id,dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas_domingo,comuna,direccion,latitud,longitud,mesas_presidente_lunes,mesas_presidente_martes_a_jueves,mesas_presidente_viernes,mesas_presidente_sábado,total_mujeres,total_hombres,total_censo,puesto_adscrito_lunes_a_sábado
1,01,001,01,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,5054,7363,12417,36,"01COMUNA 1
POPULAR",KR 29 # 102 - 20,6.291166854,-75.54110522,,,,,,,,
2,01,001,01,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,9209,6191,15400,44,"01COMUNA 1
POPULAR",CL 106 # 32-100,6.293491162,-75.5423206,,,,,,,,
3,01,001,01,03,ANTIOQUIA,MEDELLIN,IE MARIA  DE LOS ANGELES CANO MARQUEZ,4546,3979,8525,25,"01COMUNA 1
POPULAR",CR 36B 102C 54,6.292281354,-75.54450178,,,,,,,,
4,01,001,01,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,4880,4013,8893,26,"01COMUNA 1
POPULAR",CL 96 # 36-45,6.286822875,-75.54634394,,,,,,,,
5,01,001,01,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,2701,2470,5171,15,"01COMUNA 1
POPULAR",Cra 39A # 104-23,6.292913702,-75.54774715,,,,,,,,
6,01,001,01,06,ANTIOQUIA,MEDELLIN,IE LA AVANZADA,1379,1069,2448,7,"01COMUNA 1
POPULAR",CRA 27 No 106BB-65,6.294368802,-75.53912846,,,,,,,,
7,01,001,01,07,ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,1275,1180,2455,7,"01COMUNA 1
POPULAR",CALLE 97 # 23-12,6.286901662,-75.53825245,,,,,,,,
8,01,001,01,08,ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,3709,3479,7188,21,"01COMUNA 1
POPULAR",CRA 28 No 107-425,6.297172375,-75.53908901,,,,,,,,
9,01,001,01,09,ANTIOQUIA,MEDELLIN,SEC. ESC. NUEVO  HORIZONTE 2,1924,9394,11318,32,"01COMUNA 1
POPULAR",CARRERA 37 No 107AA  21,6.297678128,-75.54560659,,,,,,,,
10,01,001,02,01,ANTIOQUIA,MEDELLIN,I.E. NUEVO  HORIZONTE - PAULO  VI,3527,6639,10166,29,"01COMUNA 1
POPULAR",KR 42B # 110 A 28,6.29877061,-75.54621227,,,,,,,,
11,01,001,02,02,ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA  PROVIDENCIA,8776,3111,11887,34,"01COMUNA 1
POPULAR",CL 108 NO 43B - 17,6.297555311,-75.54915822,,,,,,,,
12,01,001,02,03,ANTIOQUIA,MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VALLE,4517,3029,7546,22,"01COMUNA 1
POPULAR",CALLE 95 #42 B 44,6.286594344,-75.55026599,,,,,,,,
13,01,001,02,04,ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,3062,2493,5555,16,"01COMUNA 1
POPULAR",Cra 45 # 108-110,6.298627042,-75.54942031,,,,,,,,
14,01,001,02,05,ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,5870,2698,8568,25,"01COMUNA 1
POPULAR",Cra 42B 95A -23,6.286822977,-75.54990857,,,,,,,,
15,01,001,03,01,ANTIOQUIA,MEDELLIN,I.E.  ASIA IGNACIANA,7249,6966,14215,41,"02COMUNA 2
SANTA  CRUZ",CL 122 # 51B-30,6.306288399,-75.5550337,,,,,,,,
