dd,mm,zz,pp,departamento,municipio,puesto,mesa,estrato
64,001,98,01,PUTUMAYO,MOCOA,CARCEL  - CASA DE JUSTICIA,1,carcel
64,001,99,41,PUTUMAYO,MOCOA,VEREDA  PUEBLO  VIEJO,2,rural
05,059,99,31,BOLIVAR,PINILLOS,PUERTO  LOPEZ,3,rural
05,022,99,17,BOLIVAR,EL CARMEN DE BOLIVAR,MACAYEPO,4,rural
13,010,99,13,CORDOBA,CERETE,I.E JULIAN  PINTO BUENDIA BTO MATEO  GOMEZ,12,rural
23,055,99,04,NARIÑO,GUAITARILLA,GIRARDOT,2,rural
31,010,99,09,VALLE,ANSERMANUEVO,EL VERGEL,2,rural
27,172,99,07,SANTANDER,RIONEGRO,EL BAMBU,2,rural
13,055,99,15,CORDOBA,SAN PELAYO,PELAYITO,3,rural
23,055,99,03,NARIÑO,GUAITARILLA,ESPERANZA,1,rural
24,001,99,30,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,8,rural
11,005,99,06,CAUCA,ARGELIA,EL PLATEADO,10,rural
01,001,99,B3,ANTIOQUIA,MEDELLIN,IE LUSITANIA,3,rural
52,027,99,50,META,EL CASTILLO,MEDELLIN DEL ARIARI,1,rural
05,013,99,13,BOLIVAR,CALAMAR,HATO VIEJO,10,rural
21,013,99,05,MAGDALENA,CERRO  DE SAN ANTONIO,CANDELARIA,1,rural
24,021,99,10,RISARALDA,BELEN DE UMBRIA,ANDICA,2,rural
19,061,99,01,HUILA,PITALITO,IE MPAL JOSE EUSTASIO RIVERA-SD PPAL,19,rural
17,006,99,26,CHOCO,ALTO BAUDO  (PIE DE PATO),PAVARANDO,1,rural
11,005,99,06,CAUCA,ARGELIA,EL PLATEADO,14,rural
11,007,99,13,CAUCA,BOLIVAR,LERMA,2,rural
05,022,99,10,BOLIVAR,EL CARMEN DE BOLIVAR,GUAMANGA,2,rural
26,010,99,10,QUINDIO,CALARCA,BARCELONA,15,rural
24,078,99,28,RISARALDA,QUINCHIA,IRRA,3,rural
01,214,99,B2,ANTIOQUIA,RIONEGRO,AUDITORIO AEROPUERTO CORR. J.M.C.,8,rural
01,133,99,10,ANTIOQUIA,GIRARDOTA,I.E.R. SAN DIEGO,4,rural
01,117,99,60,ANTIOQUIA,EL BAGRE,ESCUELA RURAL PUERTO  CLAVER,10,rural
01,001,99,B3,ANTIOQUIA,MEDELLIN,IE LUSITANIA,31,rural
17,038,99,A1,CHOCO,EL LITORAL  DEL SAN JUAN,GUACHAL,1,rural
13,058,99,22,CORDOBA,TIERRALTA,NUEVO  CEIBAL,2,rural
11,052,99,07,CAUCA,MORALES,EL MEZON,1,rural
21,008,99,35,MAGDALENA,ALGARROBO,LOMA  DE BALSAMO,5,rural
31,124,99,01,VALLE,ZARZAL,LA PAILA,3,rural
31,013,99,06,VALLE,ARGELIA,LA PAZ,1,rural
15,019,99,01,CUNDINAMARCA,BELTRAN,PAQUILO,1,rural
01,280,99,04,ANTIOQUIA,TURBO,I.E. PUERTO  CESAR,1,rural
31,082,99,67,VALLE,PRADERA,VALLECITO,1,rural
23,067,99,03,NARIÑO,IPIALES,LAS CRUCES,5,rural
21,095,99,28,MAGDALENA,ZONA BANANERA (SEVILLA),ORIHUECA,23,rural
26,060,99,34,QUINDIO,MONTENEGRO,PUEBLO  TAPAO,1,rural
01,154,99,21,ANTIOQUIA,ITUANGO,CASA DE LA CULTURA SANTA  RITA DE ITUANGO,6,rural
23,123,99,30,NARIÑO,SAN PEDRO  DE CARTAGO,GOMEZ,1,rural
31,046,99,01,VALLE,EL CAIRO,ALBAN,2,rural
28,041,99,10,SUCRE,COVEÑAS,BOCA DE LA CIENAGA,1,rural
31,055,99,20,VALLE,FLORIDA,LA ACEQUIA,1,rural
21,052,99,06,MAGDALENA,PLATO,AGUAS  VIVAS,3,rural
13,037,99,45,CORDOBA,SAHAGUN,SAN ANTONIO,3,rural
31,124,99,09,VALLE,ZARZAL,VALLEJUELO,3,rural
54,001,99,21,GUAVIARE,SAN JOSE DEL GUAVIARE,IE AGUA  BONITA  SD RAFAEL  POMBO  PPAL,1,rural
11,043,99,02,CAUCA,LOPEZ  (MICAY),BAJO SIGUI,1,rural
23,052,99,09,NARIÑO,GUACHUCAL,MUELLAMUES,5,rural
01,001,99,B1,ANTIOQUIA,MEDELLIN,IE SAN CRISTOBAL,21,rural
23,044,99,10,NARIÑO,EL PEÑOL,LAS COCHAS,1,rural
31,106,99,27,VALLE,TULUA,AGUACLARA NUESTRA SEÑORA  DEL CARMEN,2,rural
19,040,99,12,HUILA,GUADALUPE,MIRAFLORES,5,rural
05,026,99,32,BOLIVAR,HATILLO DE LOBA,LA VICTORIA,7,rural
11,043,99,07,CAUCA,LOPEZ  (MICAY),CANDELARIA,1,rural
13,037,99,33,CORDOBA,SAHAGUN,MORROCOY,3,rural
26,010,99,52,QUINDIO,CALARCA,LA BELLA,3,rural
17,006,99,28,CHOCO,ALTO BAUDO  (PIE DE PATO),YUCAL,1,rural
23,095,99,30,NARIÑO,OLAYA  HERRERA,QUINTILIANO AGUIRRE,1,rural
23,139,99,37,NARIÑO,TUMACO,BOCAS DE GUABAL,1,rural
05,043,99,41,BOLIVAR,MOMPOS,LAS BOQUILLAS,4,rural
27,211,99,01,SANTANDER,TONA,BERLIN,2,rural
25,001,02,02,NORTE DE SAN,CUCUTA,MERCEDES ABREGO SEDE JARDIN  NACIONAL,14,urbano
16,001,07,07,BOGOTA D.C.,BOGOTA. D.C.,PIAMONTE,7,urbano
27,001,01,06,SANTANDER,BUCARAMANGA,CENTRO  VIDA KENNEDY,12,urbano
01,214,04,01,ANTIOQUIA,RIONEGRO,ESC EDUARDO URIBE BOTERO,8,urbano
01,001,28,05,ANTIOQUIA,MEDELLIN,COL. SAN JOSE DE LAS VEGAS,15,urbano
25,001,07,05,NORTE DE SAN,CUCUTA,COL BUENOS AIRES,6,urbano
31,001,07,02,VALLE,CALI,ESCUELA LAS AMERICAS,24,urbano
16,001,10,24,BOGOTA D.C.,BOGOTA. D.C.,FLORENCIA,5,urbano
05,001,13,04,BOLIVAR,CARTAGENA,IE NUESTRO ESFUERZO,21,urbano
05,001,22,05,BOLIVAR,CARTAGENA,IE SEDE EMILIANO ALCALA  ROMERO,3,urbano
01,300,00,01,ANTIOQUIA,YONDO-CASABE,IE LUIS EDUARDO DIAZ SECCION PRIMARIA,3,urbano
